meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565a0f6fa275e2b7bdece2a"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""fr-FR"",""locale"":""fr-FR"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1024,""screen_height"":1366,""scroll_width"":1274,""scroll_height"":885,""window_innerWidth"":1274,""window_innerHeight"":869,""devicePixelRatio"":2}",ID,html.Page,0,2,,form submission,13532,1898.0000000000002,1903,1914,15446,15447.000000000002,2023-11-28T08:12:54.137Z,15454,2QEqDaYw5h,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,cb,568665,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,41979,15447.000000000002,15449,15454,57433,57434.00000000001,2023-11-28T08:13:36.123Z,57446,2QEqDaYw5h,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,cb,,"Frans, nederlands",BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,20563,57434.00000000001,57438,57446,78009,78009,2023-11-28T08:13:56.698Z,78041,2QEqDaYw5h,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,cb,,,,19,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,209381,78009,78024,78041,287422,287422,2023-11-28T08:17:26.108Z,287480,2QEqDaYw5h,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,cb,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,7498,287422,287427,287480,294978,294978,2023-11-28T08:17:33.664Z,294993,2QEqDaYw5h,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,cb,,,,,,,De eenden,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,2476,294978,294979,294993,297469,297469,2023-11-28T08:17:36.155Z,297478,2QEqDaYw5h,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,cb,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,219428,78009,78024,78041,297469,297471,2023-11-28T08:17:36.157Z,297478,2QEqDaYw5h,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,cb,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1132,297472,297474,297478,298610,298611,2023-11-28T08:17:37.297Z,298670,2QEqDaYw5h,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,cb,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,21340,298611,298615,298670,320010,320010,2023-11-28T08:17:58.695Z,320050,2QEqDaYw5h,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,cb,,,,,,,,,De man is niet aan het vissen,"La pêche ",,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,2531,320010,320033,320050,322581,322582,2023-11-28T08:18:01.267Z,322602,2QEqDaYw5h,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,cb,,,,,,,,,,,,,,,,,,,,,,,,
