meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565a0e8fa275e2b7bdece1c"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0"",""platform"":""Win32"",""language"":""de"",""locale"":""de-DE"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1280,""scroll_height"":539,""window_innerWidth"":1280,""window_innerHeight"":539,""devicePixelRatio"":1.5}",ID,html.Page,0,2,,form submission,6439.98,3497,3497.24,3505.02,9945,9953,2023-11-28T08:12:34.028Z,9949.74,9xNbIICuRo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Laura,277333,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,31826.260000000002,9956,9918.14,9949.74,41776,41777,2023-11-28T08:13:05.852Z,41806.86,9xNbIICuRo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Laura,,Duits,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,14099.14,41778,41766.66,41806.86,55906,55908,2023-11-28T08:13:19.983Z,55911.88,9xNbIICuRo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Laura,,,,23,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,200996.12,55909,55897.24,55911.88,256908,256912,2023-11-28T08:16:40.988Z,256929.76,9xNbIICuRo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Laura,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,4904.239999999991,256919,256896.08,256929.76,261834,261835,2023-11-28T08:16:45.910Z,261842.4,9xNbIICuRo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Laura,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,3221.600000000006,261835,261827.38,261842.4,265064,265065,2023-11-28T08:16:49.140Z,265073.06,9xNbIICuRo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Laura,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,209152.12,55909,55897.24,55911.88,265064,265065,2023-11-28T08:16:49.141Z,265073.06,9xNbIICuRo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Laura,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,29417.940000000002,265066,265056.46,265073.06,294491,294492,2023-11-28T08:17:18.567Z,294498.82,9xNbIICuRo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Laura,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,27923.179999999993,294492,294486.32,294498.82,322422,322431,2023-11-28T08:17:46.506Z,322442.48,9xNbIICuRo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Laura,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,5054.520000000019,322434,322425.82,322442.48,327497,327499,2023-11-28T08:17:51.573Z,327505.02,9xNbIICuRo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Laura,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,62423.94,265065,265056.46,265073.06,327497,327500,2023-11-28T08:17:51.575Z,327505.02,9xNbIICuRo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Laura,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,20979.97999999998,327500,327487.44,327505.02,348485,348485,2023-11-28T08:18:12.561Z,348487.62,9xNbIICuRo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Laura,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,24770.380000000005,348485,348482.66,348487.62,373258,373260,2023-11-28T08:18:37.335Z,373267.32,9xNbIICuRo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Laura,,,,,,,,,,,"geen strepen ",keine Streifen,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,4712.679999999993,373261,373246.58,373267.32,377980,377982,2023-11-28T08:18:42.058Z,377980.18,9xNbIICuRo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Laura,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,50474.97999999998,327500,327487.44,327505.02,377980,377983,2023-11-28T08:18:42.059Z,377980.18,9xNbIICuRo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Laura,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,26173.820000000007,377983,377975.4,377980.18,404154,404155,2023-11-28T08:19:08.232Z,404158.58,9xNbIICuRo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Laura,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,25199.419999999984,404157,404144.84,404158.58,429358,429359,2023-11-28T08:19:33.435Z,429371.14,9xNbIICuRo,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Laura,,,,,,,,,,,,,de man is de bomen niet aan het omzagend,der Mann sägt die Bäume nicht ab,,,,,,,,,,
