meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565a0ccfa275e2b7bdece02"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""fr-FR"",""locale"":""fr-FR"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":820,""screen_height"":1180,""scroll_width"":1180,""scroll_height"":729,""window_innerWidth"":1180,""window_innerHeight"":713,""devicePixelRatio"":2}",ID,html.Page,0,2,,form submission,9521.000000000002,1546,1571,1615,11136.000000000002,11137,2023-11-28T08:12:07.649Z,11172,AmXAeEaFzx,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Claire,593889,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,15097.000000000004,11139,11143,11172,26269.000000000004,26269.000000000004,2023-11-28T08:12:22.781Z,26305,AmXAeEaFzx,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Claire,,Frans,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,21388,26270,26278,26305,47693,47693,2023-11-28T08:12:44.204Z,47703,AmXAeEaFzx,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Claire,,,,20,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,176123,47693,47695,47703,223826,223829,2023-11-28T08:15:58.464Z,223954,AmXAeEaFzx,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Claire,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,42772,223831.00000000003,223836,223954,266726,266727.00000000006,2023-11-28T08:16:41.361Z,266753,AmXAeEaFzx,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Claire,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,3042,266727.00000000006,266730,266753,269795,269796,2023-11-28T08:16:44.429Z,269852,AmXAeEaFzx,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Claire,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,222092,47693,47695,47703,269795,269797,2023-11-28T08:16:44.431Z,269852,AmXAeEaFzx,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Claire,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,32156,269798,269818,269852,302008,302008,2023-11-28T08:17:16.641Z,302083,AmXAeEaFzx,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Claire,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,28001,302009,302012,302083,330084,330084,2023-11-28T08:17:44.717Z,330115,AmXAeEaFzx,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Claire,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,841,330085,330085,330115,330956,330956,2023-11-28T08:17:45.588Z,330966,AmXAeEaFzx,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Claire,,,,,,,,,,,,,,,,,,,,,,,,
