meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565a0cffa275e2b7bdece04"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""fr-FR"",""locale"":""fr-FR"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1024,""screen_height"":1366,""scroll_width"":1366,""scroll_height"":933,""window_innerWidth"":1366,""window_innerHeight"":950,""devicePixelRatio"":2}",ID,html.Page,0,2,,form submission,4249.000000000001,1562,1564,1577,5826.000000000001,5827,2023-11-28T08:12:04.849Z,5846,Po4H4W2IhX,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Colleen,200061,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,31608,5827,5828,5846,37454,37454,2023-11-28T08:12:36.476Z,37481,Po4H4W2IhX,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Colleen,,Frans,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,22943,37454,37465,37481,60424,60424,2023-11-28T08:12:59.446Z,60428,Po4H4W2IhX,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Colleen,,,,19,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,171334,60424,60425,60428,231762,231763,2023-11-28T08:15:50.782Z,231812,Po4H4W2IhX,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Colleen,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,36434,231763,231766,231812,268246,268246,2023-11-28T08:16:27.265Z,268250,Po4H4W2IhX,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Colleen,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,5546,268247,268248,268250,273796,273796,2023-11-28T08:16:32.814Z,273804,Po4H4W2IhX,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Colleen,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,213368,60424,60425,60428,273796,273797,2023-11-28T08:16:32.815Z,273804,Po4H4W2IhX,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Colleen,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,40165,273797,273799,273804,313969,313969,2023-11-28T08:17:12.987Z,314027,Po4H4W2IhX,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Colleen,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,30852,313970,313972,314027,344879,344880,2023-11-28T08:17:43.897Z,344895,Po4H4W2IhX,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Colleen,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,5846,344880,344881,344895,350741,350742,2023-11-28T08:17:49.758Z,350749,Po4H4W2IhX,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Colleen,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,76937,273797,273799,273804,350741,350742,2023-11-28T08:17:49.759Z,350749,Po4H4W2IhX,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Colleen,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,22164,350742,350744,350749,372913,372913,2023-11-28T08:18:11.929Z,372945,Po4H4W2IhX,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Colleen,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,29076,372913,372916,372945,402021,402021,2023-11-28T08:18:41.037Z,402036,Po4H4W2IhX,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Colleen,,,,,,,,,,,Witte en rode strippen,Des bandes rouges et blanches,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,3911,402021,402023,402036,405947,405947,2023-11-28T08:18:44.963Z,405964,Po4H4W2IhX,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Colleen,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,55198,350742,350744,350749,405947,405948.00000000006,2023-11-28T08:18:44.963Z,405964,Po4H4W2IhX,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Colleen,,,,,,,,,,,,,,,,,,,,,,,,
