meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565a0f3fa275e2b7bdece22"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0"",""platform"":""Win32"",""language"":""fr"",""locale"":""fr-BE"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1272,""scroll_height"":598,""window_innerWidth"":1272,""window_innerHeight"":598,""devicePixelRatio"":1.5}",ID,html.Page,0,2,,form submission,14766.313,5186.79999999702,5121.043,5187.687,19954,19954.70000000298,2023-11-28T08:12:51.879Z,19952.835,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,805593,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,32841.165,19955.09999999404,19935.88,19952.835,52794,52794.40000000596,2023-11-28T08:13:24.719Z,52798.153,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,Frans,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,14733.946999994041,52794.79999999702,52781.515,52798.153,67532.09999999404,67533.09999999404,2023-11-28T08:13:39.458Z,67546.2,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,19,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,184229.39999999403,67533.29999999702,67529.64,67546.2,251775.59999999404,251776.29999999702,2023-11-28T08:16:43.701Z,251789.058,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,1850.1420000029902,251776.5,251772.532,251789.058,253639.20000000298,253639.59999999404,2023-11-28T08:16:45.565Z,253640.064,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,34610.43599999999,253639.90000000596,253622.45,253640.064,288250.5,288250.90000000596,2023-11-28T08:17:20.176Z,288251.068,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,220704.3,67533.20000000298,67529.64,67546.2,288250.5,288254,2023-11-28T08:17:20.179Z,288251.068,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,3061.832000005932,288254.299999997,288234.603,288251.068,291312.90000000596,291313.299999997,2023-11-28T08:17:23.238Z,291317.378,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,27413.822000002954,291313.5,291300.78,291317.378,318731.200000003,318731.59999999404,2023-11-28T08:17:50.657Z,318753.578,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,2780.6220000030007,318731.90000000596,318713.904,318753.578,321534.200000003,321535.09999999404,2023-11-28T08:17:53.460Z,321546.946,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,33283.13200000295,288254.200000003,288234.603,288251.068,321534.200000003,321535.5,2023-11-28T08:17:53.461Z,321546.946,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,24090.554000000004,321535.799999997,321530.328,321546.946,345637.5,345638.200000003,2023-11-28T08:18:17.563Z,345643.587,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,17113.11300000298,345638.299999997,345627.517,345643.587,362756.700000003,362757.09999999404,2023-11-28T08:18:34.682Z,362758.508,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,679.091999994067,362757.40000000596,362741.61,362758.508,363437.59999999404,363437.799999997,2023-11-28T08:18:35.363Z,363441.501,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,41890.65399999404,321535.700000003,321530.328,321546.946,363437.59999999404,363438.09999999404,2023-11-28T08:18:35.363Z,363441.501,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,33711.89900000597,363438.200000003,363424.928,363441.501,397153.40000000596,397153.799999997,2023-11-28T08:19:09.079Z,397170.313,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,28947.887000002956,397154.200000003,397153.833,397170.313,426118.200000003,426118.59999999404,2023-11-28T08:19:38.044Z,426133.181,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,639.5190000029979,426118.90000000596,426116.844,426133.181,426772.700000003,426772.90000000596,2023-11-28T08:19:38.698Z,426783.474,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,63331.19900000299,363438.09999999404,363424.928,363441.501,426772.700000003,426773.09999999404,2023-11-28T08:19:38.698Z,426783.474,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,33594.12599999405,426773.299999997,426766.745,426783.474,460377.59999999404,460378,2023-11-28T08:20:12.303Z,460401.329,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,1990.0710000059335,460378.59999999404,460362.289,460401.329,462391.40000000596,462391.90000000596,2023-11-28T08:20:14.317Z,462395.84,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,7_2,,,form submission,950.7599999940139,462392.200000003,462378.523,462395.84,463346.59999999404,463347.200000003,2023-11-28T08:20:15.272Z,463361.908,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,beach2,flow.Sequence,7,,,completion,36563.12599999405,426773.299999997,426766.745,426783.474,463346.59999999404,463347.700000003,2023-11-28T08:20:15.273Z,463361.908,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,8_0,,,form submission,64816.992000005965,463347.90000000596,463345.195,463361.908,528178.900000006,528179.400000006,2023-11-28T08:21:20.105Z,528186.659,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,street2-image,html.Page,8_1,,,form submission,1915.9409999940544,528179.799999997,528170.053,528186.659,530102.599999994,530102.799999997,2023-11-28T08:21:22.028Z,530103.029,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,8_2,,,form submission,1153.87100000598,530103,530086.431,530103.029,531256.900000006,531257.099999994,2023-11-28T08:21:23.182Z,531269.577,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,street2,flow.Sequence,8,,,completion,67894.99200000596,463347.90000000596,463345.195,463361.908,531256.900000006,531257.200000003,2023-11-28T08:21:23.182Z,531269.577,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,9_0,,,form submission,54982.82300000591,531257.299999997,531252.892,531269.577,586252.400000006,586253.299999997,2023-11-28T08:22:18.178Z,586262.498,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
,farm2-image,html.Page,9_1,,,form submission,1706.3019999969983,586253.5,586245.892,586262.498,587968.799999997,587969.200000003,2023-11-28T08:22:19.894Z,587978.93,VV0yFjsr6g,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanfan,,,,,,,,,,,,,,,,,,,,,,,,
