meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565a0ecfa275e2b7bdece20"",""userAgent"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36"",""platform"":""Linux armv81"",""language"":""fr-FR"",""locale"":""fr"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":432,""screen_height"":960,""scroll_width"":980,""scroll_height"":1994,""window_innerWidth"":980,""window_innerHeight"":1806,""devicePixelRatio"":2.5}",ID,html.Page,0,2,,form submission,8234,2551,2491,2565,10799,10801,2023-11-28T08:12:37.609Z,10816,ZWS6B0Hjaw,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Geert,701848,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,33427,10803,10783,10816,44243,44245,2023-11-28T08:13:11.052Z,44277,ZWS6B0Hjaw,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Geert,,Frans en Nederlands,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,34554,44247,44235,44277,78831,78833,2023-11-28T08:13:45.640Z,78843,ZWS6B0Hjaw,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Geert,,,,19,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,124687,78835,78810,78843,203530,203534,2023-11-28T08:15:50.341Z,203576,ZWS6B0Hjaw,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Geert,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,39929,203538,203477,203576,243505,243507,2023-11-28T08:16:30.313Z,243514,ZWS6B0Hjaw,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Geert,,,,,,,Er ontbreken twee eenden,"Il manque deux canards ",,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,18102,243507,243497,243514,261616,261617,2023-11-28T08:16:48.424Z,261641,ZWS6B0Hjaw,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Geert,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,182773,78834,78810,78843,261616,261632,2023-11-28T08:16:48.439Z,261641,ZWS6B0Hjaw,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Geert,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,26360,261635,261616,261641,288001,288004,2023-11-28T08:17:14.810Z,288025,ZWS6B0Hjaw,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Geert,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,32204,288005,288000,288025,320229,320231,2023-11-28T08:17:47.037Z,320234,ZWS6B0Hjaw,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Geert,,,,,,,,,De man zit gewoon aan zee en zit niet te vissen,L'homme ne pêche pas,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,3119,320231,320209,320234,323353,323355,2023-11-28T08:17:50.162Z,323374,ZWS6B0Hjaw,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Geert,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,61712,261633,261616,261641,323353,323358,2023-11-28T08:17:50.164Z,323374,ZWS6B0Hjaw,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Geert,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,15032,323359,323349,323374,338406,338409,2023-11-28T08:18:05.215Z,338426,ZWS6B0Hjaw,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Geert,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,36271,338409,338402,338426,374697,374699,2023-11-28T08:18:41.507Z,374715,ZWS6B0Hjaw,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Geert,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,4036,374701,374691,374715,378751,378753,2023-11-28T08:18:45.560Z,378768,ZWS6B0Hjaw,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Geert,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,55377,323358,323349,323374,378751,378754,2023-11-28T08:18:45.561Z,378768,ZWS6B0Hjaw,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Geert,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,12779,378756,378751,378768,391547,391549,2023-11-28T08:18:58.356Z,391574,ZWS6B0Hjaw,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Geert,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,29637,391550,391549,391574,421211,421213,2023-11-28T08:19:28.020Z,421230,ZWS6B0Hjaw,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Geert,,,,,,,,,,,,,De man is de boom niet an het omzagen,L'homme n'est pas en train d'abattre l'arbre,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,5893,421215,421196,421230,427123,427125,2023-11-28T08:19:33.932Z,427142,ZWS6B0Hjaw,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Geert,,,,,,,,,,,,,,,,,,,,,,,,
