meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565a0c9fa275e2b7bdece00"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""fr-FR"",""locale"":""fr"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":648,""window_innerWidth"":1440,""window_innerHeight"":696,""devicePixelRatio"":1}",ID,html.Page,0,2,,form submission,11358.749999976159,2287.100000023842,2172.981,2289.65,13648.399999976158,13648.799999952316,2023-11-28T08:12:07.212Z,13657.068,fsUaXHjEaY,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanny,976899,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,28094.132000047684,13649.100000023842,13640.401,13657.068,41751.200000047684,41751.700000047684,2023-11-28T08:12:35.315Z,41759.084,fsUaXHjEaY,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanny,,Frans,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,23781.815999976156,41752.10000002384,41742.417,41759.084,65540.89999997616,65541.29999995232,2023-11-28T08:12:59.105Z,65543.9,fsUaXHjEaY,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanny,,,,19,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,171826.20000002385,65542.10000002384,65527.233,65543.9,237370.10000002384,237370.29999995232,2023-11-28T08:15:50.940Z,237372.591,fsUaXHjEaY,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanny,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,35509.6090000477,237370.5,237355.924,237372.591,272882.2000000477,272882.5,2023-11-28T08:16:26.453Z,272891.476,fsUaXHjEaY,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanny,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,46564.523999999976,272882.60000002384,272874.809,272891.476,319456,319456.2999999523,2023-11-28T08:17:13.028Z,319459.074,fsUaXHjEaY,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanny,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,253912.1,65542,65527.233,65543.9,319456,319459,2023-11-28T08:17:13.031Z,319459.074,fsUaXHjEaY,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanny,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1060.725999952294,319459.2999999523,319442.407,319459.074,320519.7999999523,320520.2000000477,2023-11-28T08:17:14.092Z,320528.335,fsUaXHjEaY,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanny,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,29892.66499999998,320520.2999999523,320511.668,320528.335,350421,350421.2000000477,2023-11-28T08:17:43.994Z,350430.458,fsUaXHjEaY,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanny,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,4024.841999952332,350421.39999997616,350413.791,350430.458,354455.2999999523,354455.7999999523,2023-11-28T08:17:48.028Z,354463.872,fsUaXHjEaY,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Fanny,,,,,,,,,,,,,,,,,,,,,,,,
