meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565a0d3fa275e2b7bdece06"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""fr-FR"",""locale"":""fr"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1280,""scroll_height"":595,""window_innerWidth"":1280,""window_innerHeight"":595,""devicePixelRatio"":1.5}",ID,html.Page,0,2,,form submission,4796.113999904633,4045.5,3909.191,4042.486,8838.599999904633,8840.199999928474,2023-11-28T08:12:57.100Z,8858.597,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,290569,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,45540.80299997616,8841.099999904633,8825.418,8858.597,54399.39999997616,54400.39999997616,2023-11-28T08:13:42.653Z,54419.441,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,"Nederlands en Engels ",BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,12631.059000000001,54401,54386.448,54419.441,67050.5,67050.69999992847,2023-11-28T08:13:55.304Z,67051.125,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,20,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,204900.17499995232,67051,67034.483,67051.125,271951.2999999523,271952,2023-11-28T08:17:20.207Z,272141.743,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,12954.256999999983,271952.39999997616,271941.953,272141.743,285096,285096.7999999523,2023-11-28T08:17:33.352Z,285106.817,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,32183.982999952335,285097.1999999285,285090.479,285106.817,317290.7999999523,317291.39999997616,2023-11-28T08:18:05.549Z,317302.692,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,250239.67499995232,67051,67034.483,67051.125,317290.7999999523,317297.1999999285,2023-11-28T08:18:05.555Z,317302.692,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,4062.808000000019,317297.7999999523,317286.059,317302.692,321365.5,321366.09999990463,2023-11-28T08:18:09.624Z,321502.149,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,19109.250999976182,321366.5,321352.334,321502.149,340611.39999997616,340612.59999990463,2023-11-28T08:18:28.870Z,340616.437,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,4267.563000000024,340613.09999990463,340599.821,340616.437,344884,344885,2023-11-28T08:18:33.143Z,344899.244,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,beach1,flow.Sequence,4,,,completion,27581.30800000002,317297.59999990463,317286.059,317302.692,344884,344885.89999997616,2023-11-28T08:18:33.143Z,344899.244,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,5_0,,,form submission,19280.355999904627,344886.39999997616,344882.591,344899.244,364179.59999990463,364180.39999997616,2023-11-28T08:18:52.438Z,364846.602,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,street1-image,html.Page,5_1,,,form submission,35684.59799992846,364180.89999997616,364163.63,364846.602,400531.1999999285,400532.09999990463,2023-11-28T08:19:28.791Z,400542.144,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,5_2,,,form submission,3439.9559999046614,400532.59999990463,400525.591,400542.144,403982.09999990463,403982.89999997616,2023-11-28T08:19:32.242Z,403993.866,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,street1,flow.Sequence,5,,,completion,59082.85599990463,344886.2999999523,344882.591,344899.244,403982.09999990463,403983.5,2023-11-28T08:19:32.243Z,403993.866,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,6_0,,,form submission,15328.733999904653,403983.89999997616,403975.172,403993.866,419322.59999990463,419323.2999999523,2023-11-28T08:19:47.583Z,419556.339,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,farm1-image,html.Page,6_1,,,form submission,32383.661000000022,419323.6999999285,419306.743,419556.339,451940,451940.6999999285,2023-11-28T08:20:20.199Z,451952.267,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,6_2,,,form submission,4534.432999928482,451941,451935.678,451952.267,456486.6999999285,456487.7999999523,2023-11-28T08:20:24.746Z,456504.844,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,farm1,flow.Sequence,6,,,completion,52492.833999928494,403983.7999999523,403975.172,403993.866,456486.6999999285,456488.39999997616,2023-11-28T08:20:24.747Z,456504.844,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,7_0,,,form submission,19924.055999976175,456489,456485.343,456504.844,476428.89999997616,476430.1999999285,2023-11-28T08:20:44.689Z,476765.725,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,beach2-image,html.Page,7_1,,,form submission,16766.974999928498,476430.59999990463,476432.6,476765.725,493532.6999999285,493533.7999999523,2023-11-28T08:21:01.794Z,493547,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,3 meeuwen,,,,,,,,,
,answer,html.Page,7_2,,,form submission,12194.5,493534.1999999285,493530.378,493547,505741.5,505742.09999990463,2023-11-28T08:21:14.002Z,505745.415,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,beach2,flow.Sequence,7,,,completion,49236.65600000002,456488.7999999523,456485.343,456504.844,505741.5,505742.5,2023-11-28T08:21:14.002Z,505745.415,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,8_0,,,form submission,28899.784999928495,505742.89999997616,505729.084,505745.415,534645.1999999285,534645.6999999285,2023-11-28T08:21:42.906Z,534875.051,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
,street2-image,html.Page,8_1,,,form submission,35717.1489999285,534646.0999999046,534641.773,534875.051,570592.1999999285,570593.2999999523,2023-11-28T08:22:18.852Z,570603.845,gnOwFEDjJp,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Noémie,,,,,,,,,,,,,,,,,,,,,,,,
