meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565a0c8fa275e2b7bdecdfe"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""fr-FR"",""locale"":""fr"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":642,""window_innerWidth"":1440,""window_innerHeight"":690,""devicePixelRatio"":2}",ID,html.Page,0,2,,form submission,11860.601999964238,1936.8999999761581,1875,1924.998,13785.599999964237,13786.299999952316,2023-11-28T08:12:06.077Z,13792.146,nzlvkwLnjH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lucie,213678,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,25042.753999976158,13786.5,13775.48,13792.146,38834.89999997616,38835.59999996424,2023-11-28T08:12:31.125Z,38842.97,nzlvkwLnjH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lucie,,Frans,BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,27560.229999988078,38835.799999952316,38826.304,38842.97,66403.19999998808,66403.69999998808,2023-11-28T08:12:58.692Z,66410.15,nzlvkwLnjH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lucie,,,,18,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,204300.64999995232,66404,66393.484,66410.15,270710.7999999523,270711.2999999523,2023-11-28T08:16:22.992Z,270720.414,nzlvkwLnjH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lucie,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,16391.98599997617,270711.5,270703.748,270720.414,287112.39999997616,287112.89999997616,2023-11-28T08:16:39.393Z,287119.901,nzlvkwLnjH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lucie,,,,,,,,,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,3242.3989999523037,287113.09999996424,287103.235,287119.901,290362.2999999523,290362.7999999523,2023-11-28T08:16:42.643Z,290369.771,nzlvkwLnjH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lucie,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,223952.14999995232,66403.89999997616,66393.484,66410.15,290362.2999999523,290364.7999999523,2023-11-28T08:16:42.645Z,290369.771,nzlvkwLnjH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lucie,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,33460.32899996423,290365,290353.105,290369.771,323830.09999996424,323830.6999999881,2023-11-28T08:17:16.109Z,323838.695,nzlvkwLnjH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lucie,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,15424.704999976151,323831,323822.029,323838.695,339263.39999997616,339263.89999997616,2023-11-28T08:17:31.542Z,339272.956,nzlvkwLnjH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lucie,,,,,,,,,de vissen,les poissons,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,8958.043999999994,339264.09999996424,339256.29,339272.956,348231,348231.6999999881,2023-11-28T08:17:40.509Z,348240.484,nzlvkwLnjH,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,Lucie,,,,,,,,,,,,,,,,,,,,,,,,
