meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565a0e8fa275e2b7bdece1e"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0"",""platform"":""Win32"",""language"":""fr"",""locale"":""fr-BE"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1482,""scroll_height"":706,""window_innerWidth"":1482,""window_innerHeight"":754,""devicePixelRatio"":1.25}",ID,html.Page,0,2,,form submission,8912.91799961853,2947.5999994277954,2845.092,2944.982,11857.89999961853,11858.5,2023-11-28T08:12:36.106Z,11869.921,v9qFAPBwML,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Koen ",972518,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,37660.97899961853,11858.79999923706,11853.479,11869.921,49530.89999961853,49531.199999809265,2023-11-28T08:13:13.779Z,49534.613,v9qFAPBwML,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Koen ",,"Frans ",BA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,33290.887,49531.5,49518.291,49534.613,82825.5,82825.89999961853,2023-11-28T08:13:47.076Z,82836.785,v9qFAPBwML,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Koen ",,,,19,m,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,124848.01499923706,82826.29999923706,82820.265,82836.785,207684.79999923706,207685.0999994278,2023-11-28T08:15:51.935Z,207686.758,v9qFAPBwML,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Koen ",,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,45959.14199961853,207685.19999980927,207670.298,207686.758,253645.89999961853,253646.29999923706,2023-11-28T08:16:37.890Z,253660.492,v9qFAPBwML,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Koen ",,,,,,,2 eenden,"2 canards ",,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,36690.80799923706,253646.39999961853,253644.055,253660.492,290351.29999923706,290351.5999994278,2023-11-28T08:17:14.596Z,290359.442,v9qFAPBwML,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Koen ",,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,207514.51499923706,82826.19999980927,82820.265,82836.785,290351.29999923706,290354.5,2023-11-28T08:17:14.599Z,290359.442,v9qFAPBwML,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Koen ",,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1526.558000000019,290354.5999994278,290342.889,290359.442,291886,291886.29999923706,2023-11-28T08:17:16.131Z,291891.277,v9qFAPBwML,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Koen ",,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,21210.12299961853,291886.5,291874.762,291891.277,313101.39999961853,313101.69999980927,2023-11-28T08:17:37.351Z,313104.779,v9qFAPBwML,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Koen ",,,,,,,,,"de vogel ",l'oiseau,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,11638.72100000002,313101.79999923706,313088.462,313104.779,324743.5,324744.29999923706,2023-11-28T08:17:48.994Z,324764.986,v9qFAPBwML,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,"Koen ",,,,,,,,,,,,,,,,,,,,,,,,
