word	ID_participant	ID_partner	Lemma	POS
NA	0510_1700_A	0510_1700_B	NA	ADV
sorry	0510_1700_B	0510_1700_A	sorry	INTJ
wat	0510_1700_B	0510_1700_A	wat	PRON
was	0510_1700_B	0510_1700_A	zijn	AUX
uw	0510_1700_B	0510_1700_A	u	PRON
naam	0510_1700_B	0510_1700_A	naam	NOUN
mijn	0510_1700_A	0510_1700_B	mijn	PRON
naam	0510_1700_A	0510_1700_B	naam	NOUN
is	0510_1700_A	0510_1700_B	zijn	AUX
CIndy	0510_1700_A	0510_1700_B	CIndy	PROPN
Cindy	0510_1700_B	0510_1700_A	Cindy	PROPN
en	0510_1700_B	0510_1700_A	en	CCONJ
wat	0510_1700_B	0510_1700_A	wat	PRON
wat	0510_1700_B	0510_1700_A	wat	PRON
is	0510_1700_B	0510_1700_A	zijn	AUX
uw	0510_1700_B	0510_1700_A	u	PRON
moedertaal	0510_1700_B	0510_1700_A	moedertaal	NOUN
mijn	0510_1700_A	0510_1700_B	mijn	PRON
moedertaal	0510_1700_A	0510_1700_B	moedertaal	NOUN
is	0510_1700_A	0510_1700_B	zijn	AUX
Nederlands	0510_1700_A	0510_1700_B	Nederlands	PROPN
NA	0510_1700_B	0510_1700_A	NA	ADV
NA	0510_1700_A	0510_1700_B	NA	ADV
helemaal	0510_1700_B	0510_1700_A	helemaal	ADV
geen	0510_1700_B	0510_1700_A	geen	DET
idee	0510_1700_B	0510_1700_A	idee	NOUN
een	0510_1700_B	0510_1700_A	een	DET
een	0510_1700_B	0510_1700_A	een	DET
raar	0510_1700_B	0510_1700_A	raar	ADJ
accent	0510_1700_B	0510_1700_A	accent	NOUN
had	0510_1700_B	0510_1700_A	hebben	VERB
ik	0510_1700_B	0510_1700_A	ik	PRON
NA	0510_1700_A	0510_1700_B	NA	ADV
zeg	0510_1700_B	0510_1700_A	zeggen	VERB
jij	0510_1700_B	0510_1700_A	jij	PRON
van	0510_1700_B	0510_1700_A	van	ADP
zeg	0510_1700_B	0510_1700_A	zeggen	VERB
maar	0510_1700_B	0510_1700_A	maar	CCONJ
komt	0510_1700_B	0510_1700_A	komen	VERB
jij	0510_1700_B	0510_1700_A	jij	PRON
uit	0510_1700_B	0510_1700_A	uit	ADP
Nederland	0510_1700_B	0510_1700_A	Nederland	PROPN
nou	0510_1700_B	0510_1700_A	nou	ADV
of	0510_1700_B	0510_1700_A	of	CCONJ
komt	0510_1700_B	0510_1700_A	komen	VERB
jij	0510_1700_B	0510_1700_A	jij	PRON
hier	0510_1700_B	0510_1700_A	hier	ADV
uit	0510_1700_B	0510_1700_A	uit	ADP
Belgi√´	0510_1700_B	0510_1700_A	Belgi√	PROPN
ik	0510_1700_A	0510_1700_B	ik	PRON
kom	0510_1700_A	0510_1700_B	komen	VERB
uit	0510_1700_A	0510_1700_B	uit	ADP
Belgi√´	0510_1700_A	0510_1700_B	Belgi√	PROPN
uit	0510_1700_A	0510_1700_B	uit	ADP
Houthalen	0510_1700_A	0510_1700_B	Houthalen	PROPN
waar	0510_1700_B	0510_1700_A	waar	ADV
is	0510_1700_B	0510_1700_A	zijn	AUX
ik	0510_1700_B	0510_1700_A	ik	PRON
heb	0510_1700_B	0510_1700_A	hebben	VERB
geen	0510_1700_B	0510_1700_A	geen	DET
idee	0510_1700_B	0510_1700_A	idee	NOUN
waar	0510_1700_B	0510_1700_A	waar	ADV
dat	0510_1700_B	0510_1700_A	dat	SCONJ
ligt	0510_1700_B	0510_1700_A	liggen	VERB
NA	0510_1700_A	0510_1700_B	NA	ADV
NA	0510_1700_B	0510_1700_A	NA	ADV
in	0510_1700_A	0510_1700_B	in	ADP
Limburg	0510_1700_A	0510_1700_B	Limburg	PROPN
dat	0510_1700_A	0510_1700_B	dat	SCONJ
is	0510_1700_A	0510_1700_B	zijn	AUX
zo	0510_1700_A	0510_1700_B	zo	ADV
een	0510_1700_A	0510_1700_B	een	DET
uurtje	0510_1700_A	0510_1700_B	uur	NOUN
van	0510_1700_A	0510_1700_B	van	ADP
